,session_id,correct,session,q
1168,20100514144222530_q1,1,20100514144222530,1
24730,20100514144222530_q2,1,20100514144222530,2
48292,20100514144222530_q3,1,20100514144222530,3
71854,20100514144222530_q4,1,20100514144222530,4
95416,20100514144222530_q5,1,20100514144222530,5
118978,20100514144222530_q6,1,20100514144222530,6
142540,20100514144222530_q7,1,20100514144222530,7
166102,20100514144222530_q8,1,20100514144222530,8
189664,20100514144222530_q9,1,20100514144222530,9
213226,20100514144222530_q10,1,20100514144222530,10
236788,20100514144222530_q11,1,20100514144222530,11
260350,20100514144222530_q12,1,20100514144222530,12
283912,20100514144222530_q13,1,20100514144222530,13
307474,20100514144222530_q14,1,20100514144222530,14
331036,20100514144222530_q15,1,20100514144222530,15
354598,20100514144222530_q16,1,20100514144222530,16
378160,20100514144222530_q17,1,20100514144222530,17
401722,20100514144222530_q18,1,20100514144222530,18
