feature,mean
word_q75_the,0.0021630328
map_hover_basic_ET_sum_next_,0.0020163723
tunic.library.frontdesk.worker.nelson_ET_q75_,0.001408258
tunic.library.frontdesk.worker.nelson_ET_sum_,0.0013904916
word_q75_is,0.0013553295
notification_click_basic_ET_median_,0.0013385375
tunic.wildlife.center_ET_sum_next_,0.0013355028
room_coor_y_q25_,0.0013238766
journals_flag.hub.topics_ET_q25_,0.0013174878
word_median_it,0.001306896
19_LEVEL_count,0.0013032254
tunic.wildlife.center_room_fqid_counts,0.0012873127
object_hover_undefined_ET_q25_next_,0.0012633482
room_coor_x_q25_,0.0012495702
word_sum_found,0.0012480126
tunic.wildlife.center.wells.nodeer_recap_ET_sum_,0.0012471263
tunic.library.frontdesk.worker.nelson_ET_median_,0.0012072475
worker_ET_q75_,0.0012064459
tunic.library.frontdesk.worker.nelson_ET_mean_,0.0012019151
word_median_need,0.0012001111
word_q75_to,0.0011782914
tracks.hub.deer_ET_q25_,0.0011683556
screen_coor_x_q25_,0.0011569526
tunic.library.frontdesk.worker.flag_recap_ET_q25_,0.0011476561
tunic.historicalsociety.cage_room_fqid_counts,0.0011442848
tocloset_dirty_ET_std_next_,0.0011402529
19_ET_sum_next_,0.0011388366
word_sum_Earth Day,0.0011102663
tunic.library.frontdesk.worker.flag_ET_median_,0.0010934157
tunic.library.frontdesk.worker.flag_recap_ET_q75_,0.0010776883
15_LEVEL_count,0.0010410903
tunic.wildlife.center.wells.nodeer_ET_q75_,0.0010398775
tunic.library.frontdesk.worker.flag_recap_ET_median_,0.0010284262
tomap_ET_mean_,0.0010169223
navigate_click_undefined_ET_sum_next_,0.001013884
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_mean_,0.0010101602
map_hover_basic_ET_sum_,0.0010078663
tunic.historicalsociety.closet_dirty_ET_std_next_,0.0010063142
tobasement_fqid_counts,0.000998739
tunic.wildlife.center.wells.nodeer_recap_ET_sum_next_,0.0009866003
notification_click_basic_ET_q25_,0.0009847329
hover_duration_mean_,0.0009845509
groupconvo_flag_fqid_counts,0.0009771468
tunic.historicalsociety.closet_dirty_room_fqid_counts,0.0009765212
tunic.library.frontdesk.worker.flag_recap_ET_mean_,0.0009688743
tunic.flaghouse.entry.colorbook_ET_mean_,0.00096819864
tohallway_ET_sum_,0.00096273364
tunic.historicalsociety.entry.directory.closeup.archivist_ET_sum_,0.00095694425
tunic.historicalsociety.entry.wells.flag_ET_q75_,0.0009512979
word_q75_can,0.00095076795
tunic.library.frontdesk.worker.flag_ET_q25_,0.0009499443
word_flag,0.0009475755
15_ET_sum_next_,0.0009397704
tunic.flaghouse.entry_ET_std_,0.0009391641
tunic.flaghouse.entry.flag_girl.symbol_ET_mean_,0.0009376498
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q75_,0.0009366643
tunic.drycleaner.frontdesk_ET_sum_,0.000934383
session_number_,0.0009329972
tunic.wildlife.center_ET_sum_,0.0009315066
word_mean_found,0.0009229723
groupconvo_flag_ET_q25_,0.00091864937
navigate_click_undefined_event_name_counts,0.0009147212
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_std_next_,0.00091428915
remove_cup_ET_sum_,0.00091157074
tostacks_ET_sum_next_,0.0009081518
tunic.historicalsociety.stacks.journals_flag.pic_0.bingo_ET_sum_,0.0009067277
tunic.historicalsociety.stacks.journals_flag.pic_2.bingo_ET_q75_,0.00090572133
archivist_glasses_ET_sum_,0.00090517086
archivist_glasses_ET_q25_,0.00090420677
tunic.historicalsociety.stacks.journals_flag.pic_0.bingo_ET_median_,0.0009031219
map_click_basic_ET_sum_next_,0.00090273557
19_ET_mean_,0.0008978884
tunic.historicalsociety.cage.glasses.beforeteddy_ET_q75_next_,0.0008977227
journals_flag.hub.topics_ET_median_,0.00089490763
tunic.flaghouse.entry.colorbook_ET_q25_,0.0008942343
tunic.wildlife.center.remove_cup_ET_sum_,0.00089380314
expert_ET_sum_,0.0008925419
