feature,mean
pre1,0.00557884
gramps_tunic.historicalsociety.collection.gramps.found_ET_q25_,0.0030663854
cutscene_click_basic_ET_median_,0.0026366024
tunic.historicalsociety.collection.gramps.found_ET_q25_,0.002537582
word_median_you,0.0024749395
checkpoint_basic_ET_sum_,0.0024368477
word_median_it,0.002364148
4_ET_sum_,0.0023594846
groupconvo_ET_q25_,0.0023468747
tunic.historicalsociety.collection_ET_median_,0.0023433445
checkpoint_basic_ET_median_,0.002326518
chap1_finale_c_ET_sum_,0.0023169606
tunic.historicalsociety.collection_room_fqid_counts,0.0023161029
tunic.capitol_0.hall_ET_sum_,0.002264866
checkpoint_basic_ET_q75_,0.0021829992
tunic.historicalsociety.entry.groupconvo_ET_q25_,0.002166244
word_q25_you,0.0021221125
chap1_finale_c_ET_q75_,0.0021214865
word_median_help,0.002094639
session_number_,0.0020850324
tunic.historicalsociety.collection_ET_q25_,0.0020713154
checkpoint_basic_ET_q25_,0.002069506
word_mean_Ooh,0.0020614527
word_q25_Ooh,0.0020500678
groupconvo_tunic.historicalsociety.entry.groupconvo_ET_q25_,0.0020001188
word_q25_the,0.0019931742
checkpoint_basic_ET_mean_,0.0019907518
word_q25_it,0.0019442226
word_median_Ooh,0.0019295126
word_median_the,0.0019055468
cs_tunic.historicalsociety.collection.cs_ET_mean_,0.001901036
cutscene_click_basic_ET_q25_,0.0018953047
word_the,0.0018612237
gramps_ET_q25_,0.0018368613
word_q25_to,0.001801017
word_mean_help,0.0017928821
chap1_finale_c_ET_mean_,0.0017873177
chap1_finale_c_ET_median_,0.0017840246
word_sum_help,0.0017740537
elapsed_time_diff_median_,0.0017641514
chap1_finale_c_ET_q25_,0.0017480834
tunic.historicalsociety.closet.teddy.intro_0_cs_0_ET_mean_,0.0017354962
tunic.historicalsociety.closet_room_fqid_counts,0.001722593
word_sum_Ooh,0.0017143652
tunic.historicalsociety.entry.groupconvo_ET_mean_,0.0016836935
notification_click_basic_ET_q25_,0.0016300338
tunic.kohlcenter.halloffame.plaque.face.date_ET_median_,0.0016195432
word_q75_Ooh,0.0016101516
word_median_slip,0.0015776547
word_median_is,0.0015666314
groupconvo_tunic.historicalsociety.entry.groupconvo_ET_median_,0.0015563191
word_median_1916,0.0015344355
object_click_basic_ET_sum_,0.0015298487
cutscene_click_basic_ET_q75_,0.0015282929
cs_tunic.historicalsociety.collection.cs_ET_q25_,0.0015265483
word_q25_help,0.0015220629
elapsed_time_diff_mean_,0.0015193527
word_mean_you,0.0015151916
word_mean_slip,0.0015146091
word_q75_help,0.0015144239
tunic.kohlcenter.halloffame.plaque.face.date_ET_mean_,0.0015059764
word_q25_find,0.001495274
word_q75_you,0.0014843292
person_click_basic_ET_q25_,0.0014801358
word_q75_this,0.0014723166
tunic.kohlcenter.halloffame_ET_q75_,0.0014678279
tunic.capitol_0.hall_ET_std_,0.001466324
word_mean_1916,0.0014592495
tunic.historicalsociety.closet.teddy.intro_0_cs_5_ET_sum_,0.0014566523
word_sum_need,0.0014563233
word_q25_is,0.0014496082
word_q75_it,0.0014429177
word_mean_need,0.0014418483
navigate_click_undefined_ET_sum_,0.0014398808
word_sum_slip,0.0014394083
cs_ET_q75_,0.0014381541
hover_duration_std_,0.0014327131
tunic.kohlcenter.halloffame_room_fqid_counts,0.0014249111
plaque_ET_sum_,0.001414856
outtolunch_tunic.historicalsociety.stacks.outtolunch_ET_sum_,0.0014115678
word_q75_need,0.0014091204
cs_ET_q25_,0.0014050631
word_q75_1916,0.0014019116
word_q75_slip,0.0013986229
teddy_ET_q25_,0.0013981846
word_q75_the,0.0013976945
tunic.historicalsociety.collection_ET_q75_,0.0013899327
word_median_need,0.0013844409
outtolunch_tunic.historicalsociety.stacks.outtolunch_ET_std_,0.001382757
navigate_click_undefined_ET_q75_,0.00138269
directory_ET_sum_,0.001378739
word_q25_Gramps,0.0013766582
intro_tunic.historicalsociety.closet.intro_ET_q75_,0.0013753911
tunic.historicalsociety.closet_ET_sum_,0.001373971
togrampa_ET_q25_,0.0013724269
word_q25_that,0.0013685998
janitor_ET_median_,0.0013675288
tunic.historicalsociety.entry_ET_q25_,0.0013636199
intro_ET_median_,0.0013633949
intro_tunic.historicalsociety.closet.intro_ET_mean_,0.0013593017
teddy_ET_median_,0.0013591537
groupconvo_tunic.historicalsociety.entry.groupconvo_ET_sum_,0.0013495384
tunic.historicalsociety.stacks_ET_median_,0.001349084
teddy_ET_q75_,0.001343474
intro_ET_std_,0.0013420875
object_hover_undefined_hover_q75_,0.0013371484
report_ET_mean_,0.0013370984
word_mean_the,0.0013364945
tunic.historicalsociety.closet.intro_ET_median_,0.0013352486
cs_tunic.historicalsociety.collection.cs_ET_q75_,0.0013295065
word_q25_1916,0.0013289688
4_ET_std_,0.0013269627
tunic.historicalsociety.closet.photo_ET_q75_,0.0013266002
tunic.kohlcenter.halloffame.togrampa_ET_q25_,0.0013256803
3_ET_q75_,0.0013246036
togrampa_ET_q75_,0.0013222876
object_hover_undefined_hover_sum_,0.0013217146
tunic.kohlcenter.halloffame.plaque.face.date_ET_sum_,0.00132113
tunic.historicalsociety.closet.teddy.intro_0_cs_5_ET_q75_,0.0013193684
hover_duration_mean_,0.0013192962
0-4_ET_mean_,0.001318429
retirement_letter_ET_std_,0.0013179525
object_click_basic_ET_q25_,0.0013168885
groupconvo_ET_median_,0.001315708
word_sum_1916,0.0013149632
3_ET_median_,0.001313276
tunic.historicalsociety.entry.groupconvo_ET_sum_,0.0013119716
report_ET_q25_,0.0013111198
screen_coor_x_mean_,0.0013106054
navigate_click_undefined_ET_q25_,0.0013077898
doorblock_tunic.historicalsociety.closet.doorblock_ET_q75_,0.0013074978
cs_ET_median_,0.0013039863
1_ET_q25_,0.0013037841
intro_ET_q75_,0.0013037121
word_mean_Wells,0.0013020076
word_q25_need,0.0013017625
photo_tunic.historicalsociety.closet.photo_ET_q25_,0.0012991164
tobasement_ET_q75_,0.0012974802
object_hover_undefined_hover_mean_,0.0012956598
tunic.historicalsociety.collection_coord2_max_,0.0012924311
word_median_Jo,0.001292286
word_mean_Wisconsin Wonders,0.0012898343
word_std_1916,0.001287752
groupconvo_ET_sum_,0.0012877089
tunic.kohlcenter.halloffame.plaque.face.date_ET_q25_,0.0012868395
screen_coor_x_q75_,0.001286216
tunic.historicalsociety.basement_ET_q75_,0.0012859663
tunic.historicalsociety.basement_coord1_std_,0.001280732
tunic.historicalsociety.collection_coord2_min_,0.0012744212
word_std_need,0.0012726819
tobasement_ET_median_,0.001272551
tunic.historicalsociety.entry.groupconvo_ET_median_,0.0012717536
object_hover_undefined_hover_std_,0.0012687804
retirement_letter_ET_q25_,0.0012660273
tunic.historicalsociety.closet.photo_ET_q25_,0.0012658316
word_q25_Jo,0.0012652975
retirement_letter_ET_sum_,0.0012651264
tunic.historicalsociety.stacks.outtolunch_ET_q25_,0.001263402
tunic.historicalsociety.entry_room_fqid_counts,0.0012614413
notebook_click_close_page_count_,0.0012601671
tunic.kohlcenter.halloffame.togrampa_ET_median_,0.001259309
3_ET_mean_,0.001258931
tunic.capitol_0.hall_ET_mean_,0.0012570645
tunic.historicalsociety.closet.intro_ET_q75_,0.0012570492
tunic.historicalsociety.entry.groupconvo_ET_q75_,0.0012564388
4_ET_mean_,0.0012560096
0-4_ET_sum_,0.001255288
word_std_slip,0.0012543132
tunic.historicalsociety.closet.intro_ET_std_,0.001253539
tunic.kohlcenter.halloffame.plaque.face.date_ET_q75_,0.001252088
word_mean_jersey,0.0012498867
0-4_ET_std_,0.0012495336
doorblock_tunic.historicalsociety.closet.doorblock_ET_sum_,0.0012490951
tunic.historicalsociety.stacks.outtolunch_ET_sum_,0.001246664
