iter	Passed	Remaining
0	14	4350
1	28	4300
2	43	4303
3	58	4297
4	72	4267
5	86	4250
6	100	4186
7	113	4143
8	126	4104
9	141	4104
10	155	4090
11	168	4052
12	180	3982
13	194	3967
14	207	3940
15	220	3919
16	232	3866
17	245	3846
18	258	3823
19	272	3812
20	286	3801
21	298	3768
22	310	3745
23	325	3744
24	339	3736
25	354	3733
26	367	3714
27	378	3681
28	392	3667
29	405	3652
30	420	3646
31	433	3630
32	445	3607
33	458	3590
34	472	3575
35	486	3566
36	499	3547
37	511	3526
38	525	3516
39	540	3511
40	554	3499
41	567	3488
42	581	3477
43	594	3456
44	608	3447
45	622	3438
46	635	3421
47	649	3411
48	661	3387
49	674	3374
50	689	3364
51	703	3353
52	715	3336
53	727	3314
54	742	3307
55	757	3301
56	774	3302
57	789	3292
58	803	3280
59	817	3269
60	832	3260
61	846	3250
62	861	3241
63	875	3229
64	894	3233
65	911	3230
66	923	3210
67	938	3200
68	952	3188
69	967	3177
70	980	3161
71	994	3148
72	1006	3130
73	1020	3115
74	1033	3100
75	1047	3088
76	1062	3077
77	1077	3065
78	1089	3047
79	1102	3032
80	1117	3021
81	1131	3007
82	1145	2993
83	1158	2979
84	1170	2961
85	1185	2949
86	1198	2934
87	1211	2919
88	1225	2904
89	1237	2887
90	1250	2872
91	1264	2858
92	1277	2843
93	1292	2831
94	1304	2814
95	1318	2801
96	1331	2786
97	1345	2773
98	1359	2759
99	1373	2746
100	1385	2730
101	1399	2716
102	1411	2699
103	1424	2684
104	1436	2666
105	1449	2653
106	1463	2639
107	1477	2626
108	1490	2612
109	1503	2596
110	1516	2581
111	1529	2567
112	1541	2551
113	1555	2538
114	1567	2521
115	1581	2507
116	1595	2496
117	1609	2482
118	1623	2469
119	1636	2454
120	1649	2440
121	1662	2425
122	1675	2411
123	1689	2398
124	1701	2381
125	1714	2367
126	1727	2353
127	1740	2338
128	1754	2325
129	1766	2309
130	1779	2295
131	1792	2281
132	1806	2268
133	1820	2255
134	1833	2240
135	1846	2226
136	1860	2213
137	1873	2198
138	1886	2184
139	1897	2168
140	1911	2155
141	1923	2140
142	1937	2126
143	1951	2114
144	1963	2098
145	1977	2085
146	1990	2071
147	2003	2058
148	2017	2044
149	2029	2029
150	2044	2017
151	2058	2004
152	2072	1991
153	2087	1978
154	2100	1964
155	2113	1950
156	2127	1937
157	2141	1924
158	2154	1910
159	2166	1896
160	2179	1881
161	2192	1867
162	2205	1854
163	2219	1840
164	2232	1826
165	2244	1811
166	2258	1798
167	2271	1784
168	2284	1771
169	2296	1755
170	2309	1741
171	2322	1728
172	2336	1714
173	2349	1701
174	2360	1686
175	2374	1673
176	2388	1659
177	2401	1645
178	2414	1632
179	2427	1618
180	2441	1604
181	2453	1591
182	2466	1577
183	2479	1563
184	2491	1548
185	2503	1534
186	2516	1520
187	2529	1507
188	2542	1493
189	2555	1479
190	2569	1466
191	2583	1453
192	2597	1440
193	2611	1427
194	2624	1413
195	2639	1400
196	2651	1386
197	2664	1372
198	2678	1359
199	2689	1344
200	2703	1331
201	2716	1318
202	2729	1304
203	2741	1290
204	2755	1276
205	2768	1263
206	2782	1250
207	2796	1236
208	2808	1222
209	2822	1209
210	2834	1195
211	2847	1182
212	2862	1169
213	2875	1155
214	2888	1142
215	2902	1128
216	2916	1115
217	2930	1102
218	2943	1088
219	2955	1074
220	2968	1060
221	2981	1047
222	2995	1034
223	3009	1020
224	3021	1007
225	3034	993
226	3047	980
227	3061	966
228	3074	953
229	3086	939
230	3100	926
231	3114	912
232	3127	899
233	3141	886
234	3155	872
235	3167	858
236	3180	845
237	3193	831
238	3206	818
239	3219	804
240	3231	791
241	3244	777
242	3259	764
243	3274	751
244	3291	738
245	3310	726
246	3324	713
247	3336	699
248	3349	686
249	3362	672
250	3376	659
251	3390	645
252	3402	632
253	3416	618
254	3430	605
255	3444	592
256	3457	578
257	3468	564
258	3482	551
259	3495	537
260	3509	524
261	3522	510
262	3536	497
263	3548	483
264	3561	470
265	3572	456
266	3586	443
267	3598	429
268	3611	416
269	3625	402
270	3638	389
271	3649	375
272	3662	362
273	3676	348
274	3689	335
275	3702	321
276	3714	308
277	3726	294
278	3740	281
279	3753	268
280	3765	254
281	3778	241
282	3790	227
283	3802	214
284	3815	200
285	3827	187
286	3839	173
287	3852	160
288	3866	147
289	3878	133
290	3891	120
291	3904	106
292	3918	93
293	3932	80
294	3945	66
295	3958	53
296	3972	40
297	3985	26
298	3999	13
299	4013	0
