fqid,text_fqid,session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,room_fqid,level_group,elapsed_time_diff
boss,tunic.capitol_1.hall.boss.writeitup,5377,795,6127,1,1,1,1,5967,5999,464,345,1,1,1,1,2700
boss,tunic.capitol_2.hall.boss.haveyougotit,7780,2518,41272,1,1,9,1,36952,33276,822,582,1,3,1,1,6026
chap4_finale_c,tunic.capitol_2.hall.chap4_finale_c,244,251,280,1,1,1,1,215,228,19,19,1,8,1,1,31
worker,tunic.drycleaner.frontdesk.worker.done2,2222,1385,3552,1,1,10,1,3488,678,641,318,1,1,1,1,1731
flag_girl,tunic.flaghouse.entry.flag_girl.hello,23562,2871,227534,1,1,1,1,93009,77105,1873,1770,1,11,1,1,9350
flag_girl,tunic.flaghouse.entry.flag_girl.hello_recap,3115,1125,3491,1,1,1,1,2123,1753,446,307,1,1,1,1,1825
flag_girl,tunic.flaghouse.entry.flag_girl.symbol,23562,2453,116672,1,1,2,1,83319,70840,1266,1197,1,5,1,1,6699
flag_girl,tunic.flaghouse.entry.flag_girl.symbol_recap,9324,1949,15377,1,1,3,1,12117,10985,614,610,1,1,1,1,4254
ch3start,tunic.historicalsociety.basement.ch3start,23562,2213,201347,1,1,1,1,165350,130542,1949,1770,1,12,1,1,6908
gramps,tunic.historicalsociety.basement.gramps.seeyalater,1272,732,3823,1,1,1,1,3746,3296,443,238,1,2,1,1,2330
gramps,tunic.historicalsociety.basement.gramps.whatdo,1287,704,2930,1,1,1,1,2913,2912,318,221,1,2,1,1,1339
savedteddy,tunic.historicalsociety.basement.savedteddy,23562,2223,177489,1,1,1,1,8222,7217,2443,1973,1,3,1,1,14343
seescratches,tunic.historicalsociety.basement.seescratches,23562,2183,242061,1,1,1,1,47121,38976,2076,1703,1,16,1,1,7433
confrontation,tunic.historicalsociety.cage.confrontation,23561,2840,569377,1,1,1,1,299066,213828,3859,3163,1,41,1,1,10230
glasses,tunic.historicalsociety.cage.glasses.afterteddy,23073,1693,90745,1,1,3,1,82833,67324,1455,927,1,4,1,1,6088
